Issue Type,Issue key,Assignee,Status,Priority,Updated
Bug,RBTWS-9670,gil9red,Closed,Ordinary,31-08-2015 17:18
Bug,RBTWS-9311,gil9red,Closed,Ordinary,13-08-2015 16:53
Bug,RBTWS-8971,gil9red,Closed,Ordinary,04-08-2015 10:39
Bug,RBTWS-8409,gil9red,Closed,Ordinary,30-06-2015 13:29
New Feature,RBTWS-9585,gil9red,Resolved,Ordinary,30-06-2015 11:21
Task,RBTWS-9638,gil9red,Resolved,Moderate/Major,29-06-2015 17:20
Bug,RBTWS-9524,gil9red,Resolved,Ordinary,25-06-2015 14:58
Bug,RBTWS-9556,gil9red,Resolved,Ordinary,25-06-2015 14:58
Bug,RBTWS-9525,gil9red,Resolved,Ordinary,25-06-2015 14:57
Task,RBTWS-9526,gil9red,Resolved,Ordinary,23-06-2015 10:56
Sub-task,RBTWS-8136,gil9red,Open,Ordinary,21-05-2015 12:13
New Feature,RBTWS-7417,gil9red,Resolved,Ordinary,07-05-2015 14:35
Bug,RBTWS-8394,gil9red,Closed,Ordinary,28-04-2015 10:45
Bug,RBTWS-8877,gil9red,Closed,Ordinary,27-04-2015 11:17
Bug,RBTWS-9045,gil9red,Resolved,Moderate/Major,15-04-2015 09:57
Task,RBTWS-7387,gil9red,Resolved,Ordinary,02-04-2015 12:50
Task,RBTWS-8476,gil9red,Closed,Ordinary,27-03-2015 17:01
Bug,RBTWS-7427,gil9red,Closed,Info Request/Minor,06-03-2015 16:50
New Feature,RBTWS-3699,gil9red,Resolved,Ordinary,20-02-2015 12:35
Bug,RBTWS-8523,gil9red,Closed,Moderate/Major,16-02-2015 15:25
Bug,RBTWS-8335,gil9red,Closed,Ordinary,13-02-2015 12:08
Question,RBTWS-8566,gil9red,Closed,Moderate/Major,13-02-2015 11:41
Bug,RBTWS-8467,gil9red,Closed,Moderate/Major,13-02-2015 10:32
Bug,RBTWS-8465,gil9red,Closed,Moderate/Major,06-02-2015 15:56
Bug,RBTWS-8463,gil9red,Closed,Ordinary,06-02-2015 15:34
Bug,RBTWS-8437,gil9red,Closed,Moderate/Major,06-02-2015 15:23
Bug,RBTWS-8462,gil9red,Closed,Moderate/Major,04-02-2015 10:47
Bug,RBTWS-8458,gil9red,Closed,Moderate/Major,04-02-2015 10:24
Bug,RBTWS-8464,gil9red,Closed,Moderate/Major,04-02-2015 09:50
Question,RBTWS-8454,gil9red,Closed,Moderate/Major,03-02-2015 16:46
Bug,RBTWS-8436,gil9red,Closed,Moderate/Major,02-02-2015 16:36
Bug,RBTWS-8428,gil9red,Closed,Moderate/Major,02-02-2015 15:20
Question,RBTWS-6644,gil9red,Closed,Ordinary,30-01-2015 13:05
Task,RBTWS-7171,gil9red,Resolved,Moderate/Major,27-01-2015 13:37
Task,STTXS-148,gil9red,Closed,Info Request/Minor,31-12-2014 11:37
Bug,RBTWS-7413,gil9red,Closed,Info Request/Minor,31-12-2014 11:35
Bug,RBTWS-8206,gil9red,Closed,Ordinary,30-12-2014 16:14
Question,STTXS-161,gil9red,Closed,Ordinary,18-12-2014 09:56
Task,RBTWS-7602,gil9red,Closed,Ordinary,18-11-2014 16:53
Bug,RBTWS-7543,gil9red,Resolved,Ordinary,07-11-2014 14:05
Bug,RBTWS-7126,gil9red,Closed,Ordinary,05-11-2014 15:17
Bug,RBTWS-6812,gil9red,Closed,Ordinary,03-11-2014 16:53
Task,STTXS-160,gil9red,Closed,Ordinary,21-10-2014 12:07
Question,STTXS-142,gil9red,Closed,Ordinary,21-10-2014 11:33
Bug,RBTWS-7263,gil9red,Closed,Ordinary,10-10-2014 13:22
Bug,STTXS-156,gil9red,Closed,Ordinary,10-10-2014 11:06
Bug,STTXS-152,gil9red,Closed,Ordinary,10-10-2014 09:21
Bug,STTXS-153,gil9red,Closed,Ordinary,10-10-2014 09:21
Bug,STTXS-150,gil9red,Closed,Ordinary,10-10-2014 09:19
Bug,RBTWS-7092,gil9red,Closed,Ordinary,02-10-2014 16:44
Bug,RBTWS-6192,gil9red,Closed,Ordinary,02-10-2014 16:38
Bug,RBTWS-6825,gil9red,Closed,Info Request/Minor,02-10-2014 16:21
Bug,RBTWS-6835,gil9red,Closed,Ordinary,02-10-2014 16:18
Bug,RBTWS-7094,gil9red,Closed,Ordinary,02-10-2014 16:16
New Feature,STTXS-146,gil9red,Open,Ordinary,29-09-2014 11:27
Bug,RBTWS-7229,gil9red,Closed,Ordinary,19-09-2014 11:40
Task,RBTWS-7584,gil9red,Closed,Ordinary,18-09-2014 11:47
Bug,RBTWS-7216,gil9red,Closed,Ordinary,02-09-2014 17:01
Bug,RBTWS-6621,gil9red,Closed,Info Request/Minor,02-09-2014 16:59
Bug,RBTWS-7144,gil9red,Closed,Moderate/Major,29-08-2014 10:28
Task,RBTWS-6048,gil9red,Closed,Ordinary,18-08-2014 16:21
Task,STTXS-147,gil9red,Closed,Ordinary,18-08-2014 11:27
Sub-task,RBTWS-6047,gil9red,Closed,Ordinary,15-08-2014 13:34
Bug,RBTWS-6088,gil9red,Closed,Ordinary,14-08-2014 15:52
Bug,RBTWS-7266,gil9red,Closed,Ordinary,30-07-2014 12:14
Bug,RBTWS-7262,gil9red,Closed,Ordinary,29-07-2014 17:17
Task,RBTWS-6930,gil9red,Closed,Info Request/Minor,23-07-2014 13:03
Sub-task,RBTWS-7018,gil9red,Closed,Ordinary,17-07-2014 13:14
Task,RBTWS-5056,gil9red,Closed,Ordinary,17-07-2014 11:04
Bug,RBTWS-7112,gil9red,Closed,Ordinary,14-07-2014 10:16
Task,RBTWS-6596,gil9red,Closed,Ordinary,08-07-2014 20:52
Bug,RBTWS-6664,gil9red,Closed,Ordinary,02-07-2014 13:14
Bug,RBTWS-6665,gil9red,Closed,Ordinary,02-07-2014 13:14
Bug,RBTWS-6294,gil9red,Closed,Info Request/Minor,02-07-2014 10:58
Bug,RBTWS-6786,gil9red,Closed,Ordinary,02-07-2014 10:33
Task,RBTWS-6739,gil9red,Resolved,Ordinary,29-05-2014 10:33
Task,RBTWS-6184,gil9red,Closed,Info Request/Minor,13-05-2014 17:56
Bug,RBTWS-5768,gil9red,Closed,Ordinary,05-05-2014 13:16
Task,STTXS-144,gil9red,Closed,Ordinary,30-04-2014 15:27
Task,STTXS-145,gil9red,Closed,Ordinary,30-04-2014 15:25
