Issue Type,Issue key,Assignee,Status,Priority,Updated
Sub-task,RBTWS-22939,gil9red,Resolved,Ordinary,15-05-2018 12:45
Task,RBTWS-13455,gil9red,Closed,Ordinary,15-05-2018 09:32
New Feature,RBTWS-13900,gil9red,Closed,Ordinary,15-05-2018 08:27
Sub-task,RBTWS-23261,gil9red,Closed,Ordinary,27-04-2018 19:23
Question,TTOP-341,gil9red,Closed,Ordinary,27-04-2018 15:37
New Feature,STTXS-227,gil9red,Open,Ordinary,26-04-2018 11:41
Task,RBTWS-19498,gil9red,Closed,Ordinary,24-04-2018 10:58
Bug,RBTWS-19385,gil9red,Resolved,Moderate/Major,23-04-2018 15:51
New Feature,RBTWS-14514,gil9red,Open,Moderate/Major,23-04-2018 11:46
Task,STTXS-202,gil9red,Closed,Ordinary,22-04-2018 12:13
Question,RBTWS-21573,gil9red,Closed,Ordinary,22-04-2018 12:10
Task,TTOP-368,gil9red,Closed,Ordinary,19-04-2018 18:36
Sub-task,RBTWS-23145,gil9red,Closed,Ordinary,18-04-2018 18:38
Bug,RBTWS-18784,gil9red,Closed,Ordinary,13-04-2018 13:21
Task,RBTWS-19283,gil9red,Closed,Ordinary,13-04-2018 12:36
Task,RBTWS-20984,gil9red,Closed,Ordinary,13-04-2018 12:23
Sub-task,TTOP-365,gil9red,Resolved,Ordinary,10-04-2018 18:40
Bug,TTOP-333,gil9red,Resolved,Moderate/Major,10-04-2018 18:21
Sub-task,TTOP-362,gil9red,Resolved,Ordinary,10-04-2018 15:14
Task,RBTWS-23098,gil9red,Closed,Ordinary,09-04-2018 14:56
Sub-task,RBTWS-15435,gil9red,Open,Ordinary,06-04-2018 14:36
Sub-task,TTOP-364,gil9red,Resolved,Ordinary,05-04-2018 17:09
Task,TTOP-300,gil9red,Open,Moderate/Major,30-03-2018 17:15
Sub-task,TTOP-361,gil9red,Resolved,Ordinary,28-03-2018 20:11
Sub-task,RBTWS-22904,gil9red,Closed,Ordinary,28-03-2018 19:08
Sub-task,RBTWS-22902,gil9red,Closed,Ordinary,28-03-2018 19:07
Bug,RBTWS-22480,gil9red,Resolved,Ordinary,23-03-2018 11:06
Task,TTOP-303,gil9red,Resolved,Ordinary,10-03-2018 09:39
Question,RBTWS-22463,gil9red,Resolved,Ordinary,06-03-2018 15:41
Bug,TTOP-354,gil9red,Open,Moderate/Major,16-02-2018 13:50
Bug,TTOP-353,gil9red,Closed,Moderate/Major,15-02-2018 18:14
Task,TTOP-330,gil9red,Open,Ordinary,12-02-2018 17:40
Bug,TTOP-352,gil9red,Open,Ordinary,08-02-2018 15:05
New Feature,TTOP-350,gil9red,Closed,Moderate/Major,01-02-2018 19:12
Bug,RBTWS-21206,gil9red,Closed,Ordinary,01-02-2018 14:28
Question,RBTWS-11162,gil9red,Resolved,Moderate/Major,30-01-2018 12:57
Sub-task,TTOP-329,gil9red,Resolved,Ordinary,29-01-2018 12:38
Task,TTOP-315,gil9red,Reopened,Ordinary,24-01-2018 17:18
Task,TTOP-345,gil9red,Resolved,Ordinary,24-01-2018 17:08
Question,TTOP-346,gil9red,Closed,Ordinary,24-01-2018 15:13
New Feature,TTOP-342,gil9red,Resolved,Ordinary,23-01-2018 20:14
Bug,TTOP-347,gil9red,Open,Ordinary,23-01-2018 18:59
Task,TTOP-331,gil9red,Resolved,Ordinary,23-01-2018 16:27
Sub-task,TTOP-343,gil9red,Resolved,Ordinary,23-01-2018 11:55
Bug,TTOP-180,gil9red,Closed,Ordinary,18-01-2018 16:43
Task,TTOP-220,gil9red,Closed,Ordinary,18-01-2018 11:29
Bug,TTOP-233,gil9red,Open,Ordinary,17-01-2018 18:28
